rowno,review,type
259,"I think my summary says it all. This MTV-ish answer to the classic Candid Camera TV show features a Gen X (or is that Gen Y) type putting in false choppers and wearing various hats and wigs and glasses, and setting people up in fairly outlandish although often not very interesting situations. Example: Kennedy has a guy invite his parents to his ""wedding."" Kennedy is the bride, done up in a full bridal gown and long wig. The ""joke"" is that the parents immediately understand their son is marrying a man who claims to no longer have his ""bits and pieces."" Problem is, this schtick goes on way too long, obviously to fill out time. And Kennedy is about as funny as a dead cod lying in the sun. Candid Camera would have run three or four scenarios in the time it took Kennedy to get through this one, running around, constantly asking ""Do I look fat?"" I recognize the show was not made for me. It was made for 12-year-old pinheads who think JACKASS is the height of comedy today. So let them laugh. Thank God the show was short-lived.",neg
260,"Wow, was this version of THE RACKETEER tough to watch! While none of the other reviews have mentioned this, the public domain version I watched was seriously flawed. The sound track was off by about 10 seconds--meaning the dialog and action never came close to matching. So, you'd hear something occur well before you saw it--a very confusing proposition! The worst is where you hear a gun shot and only later doe the guy get hit and slump to his death in a taxi.<br /><br />While this seriously marred the film, it also made concentrating on the dialog easier--and showed the serious shortcomings of it as well. The dialog was simply awful--often delivered with almost no inflection or feeling. As one review said, it was like watching a high school play. Part of this is understandable, as sound was a new medium, but this film's dialog was bad even compared to other 1929 films--really bad. And, like many of these early sound films, the film was just too talky--with sappy and overly melodramatic language and just not much action. And you'd THINK with a title like ""The Racketeer"" that there would be some action!! However, it's really a sappy romance--with very little action.<br /><br />The film finds Carol Lombard straddled with an alcoholic musician. She herself ends up stealing to try to take care of him--and the crook, Robert Armstrong, comes to her assistance. When Armstrong catches her cheating at cards, he covers for her and then helps the drunk brother to get on his feet--and naturally he falls for her in the process. The problem is that once the drunk sobers up, he, too, wants Lombard and she needs to choose between them. Wow...a recovering drunk or a mobster...talk about a couple great prospects! Overall, it's a bit hard to rate considering the lousy print I saw. However, even if you ignore this, the film has a lot of problems due to its poor use of dialog and excessively talky nature. And...it was sappy too boot.",neg
261,"Carole Lombard stars in this transition period film. This film is a typical example of a very early ""talkie"" (First practical sound film was ""The Jazz Singer"", 1927). Overall, the acting in this film tends to be extremely broad and very melodramatic.<br /><br />The viewer may easily note that the actors are still ""acting"" for a silent film, and this combined with the overly pronounced, overly earnest dialog (It seems most likely a diction-elocution-drama coach was employed extensively to teach the ""silent"" actors to speak lines), creates some rather comical scenes which were not at all intended to be comical.<br /><br />Carole Lombard's later great acting ability is all but unrecognizable underneath all the broad gestures, melodrama, and eager earnestness.<br /><br />Mainly interesting as an historical curiosity of the period, and for it's completely unintended comedy-camp value.",neg
262,"Time has not been kind to this film from the transition days of sound from silent. The plot has a gangster falling for a socialite who wants to help the down on his luck violinist she loves. There are of course complications. The problem with the film for me is that it hasn't aged well. Performances are all over the place with some emotional scenes seeming so over the top as to be laughable. One late exchange where Carol Lombard throws someone out of her room had me howling with its sing song delivery. There are other times when the film becomes static, a sign of the limitations of the microphones. Its not a bad film, its just that the technical limitations of the film get in the way of real enjoyment. Normally I'm forgiving, but this time out I just couldn't go with the flow (Then again the copy I saw was absolutely horrible). Worth a shot in a forgiving mood (and to be reminded that Robert Armstrong actually did more than play Carl Denham in King Kong)",neg
263,"""The Racketeer"" stars Carol (deprived of the ""e"" that usually appeared at the end of her first name) Lombard as a woman thrown out of society because she left her husband for a concert violinist (Roland Drew) who has since become a down-and-out alcoholic, and torn between her love for him and the interest of New York crime kingpin Robert Armstrong (top-billed). It's virtually a compendium of what was wrong with the earliest talkies: stiff direction, immobile cameras, stagy acting and ridiculously slow-paced delivery of lines. At the time the sound crews were telling the directors to have their actors speak every line s-l-o-w-l-y and not to start speaking their own line until after the previous actor had finished theirs. Done about five years later, this could have been an interesting movie, but director Howard Higgin faithfully follows his sound recorder's dictates and systematically undercuts the talents we know Lombard and Armstrong had from watching their later movies. ""The Racketeer"" was made in 1929, a year that despite the transition problems from silent to sound nonetheless gave us some legitimate masterpieces �? Vidor's ""Hallelujah!,"" Mamoulian's ""Applause,"" Wyler's ""Hell's Heroes,"" Capra's ""Ladies of Leisure"" �? all from directors with strong enough wills to tell the soundboard dictators to get stuffed and let their actors talk and act naturalistically. Too bad Howard Higgin wasn't that strong; as it is, watching a naturally rapid-paced actor like Armstrong slog through the part in the ridiculous way he's been told to speak, one can't help but wonder where that 50-foot gorilla is when Armstrong needs him.",neg
264,"Sammi Cheng & Andy Lau are coupled yet again in their 3rd film -- YESTERDAY ONCE MORE -- directed by HK's actioneer Johnnie To...fans of To's action films will be disappointed to find not a single gun was used in the filming...furthermore, fans of Cheng & Lau's previous films, NEEDING YOU & LOVE ON A DIET, will also be disappointed to find that YESTERDAY is no where near as funny or endearing...<br /><br />Mr. & Mrs. To (Lau & Cheng) are a divorced couple...both affluent HK citizens...both incredibly mischievous...both just happened to be professional thieves -- 'two birds of the same feather'....A couple years earlier, they divorced over an inability to find middle ground on splitting the loot...Now she's remarrying...to the son of a rich heiress -- a total momma's boy (Carl Ng) through & through...The soon-to-be mother-in-law (Jenny Woo) is suspicious of Mrs. To's past & thinks she's only marrying her son for the family jewels -- the heiress' priceless ruby necklace...<br /><br />The necklace is stolen...is it Mrs. To's materialistic eye that gets the best of her?... or is it her ex-husband, Mr. To's way of sabotaging the marriage to steal the jewels for himself?...<br /><br />This is not a movie about two pple falling in love or rekindling a love...its about two pple who have always been in love but have somehow been to foolish to realize it...they let pride & greed overwhelm them...<br /><br />Overall: YESTERDAY is one part caper/heist film & one part homage to classic Hollywood glamour from its golden years -- i.e. Cary Grant & Grace Kelly's TO CATCH A THIEF...Johnnie To is riding too heavily on Cheng/Lau's chemistry from their previous films...hoping Cheng/Lau's immense popularity & fan base will be enough justification for this third film....I think Sammi Cheng is one of the most likable/charming entertainers working t'day...& Lau is definitely the Tom Cruise of Asian cinema...<br /><br />I really enjoyed their first two films & consider the Cheng/Lau pairing comparable to those classic Hollywood couples of the 40's & 50's...but YESTERDAY falls very short of expectations...terrible writing, ridiculous situations, product placements galore, & all the subplots & supporting characters were unnecessary...come to think of it...this film was unnecessary...unless you just love celebrity watching...",neg
265,"I've seen several stage and film adaptations of Alice in Wonderland and this one has to take the cake as the absolute worst. My family bought the DVD unsuspectingly and couldn't even make it through the first half. I later went back and forced myself to watch the whole thing (it had been a Christmas gift to me) and was just appalled.<br /><br />The only redeeming factor (and it's hardly redeeming enough to save the whole show) is Mark Lin-Baker playing the Mock Turtle with a Yiddish accent. It's one of the few moments in the piece that has some real charm and can be taken somewhat seriously. Other than that, the songs are half-songs, the melodies are half-melodies and even Meryl Streep cannot make this direction look good.",neg
266,"Terrific production and a good comedic performance by George Clooney can't save curiously detached, occasionally clumsy quasi-comedy from Joel and Ethan Coen. Depression-era road tale hearkens back to yesterday with three escaped chain-gang prisoners seeking a hidden fortune, and inadvertently becoming country music stars in the process! The film meanders along but never builds any momentum. It does get a big boost from Clooney's charismatic, Gableesque mugging, and also from the art direction and T-Bone Burnett's lively music. Otherwise, the screenplay (by the Coens) is seriously lacking in humor and interest, supporting cameos by John Goodman and Holly Hunter fail to add any lift, and the second-half of the movie slides precariously into self-indulgence. ** from ****",neg
267,"How can ANYBODY give this anything higher than a '1'?<br /><br />I thought ""Manos, the Hands of Fate"" would forever be the worst movie ever to impinge itself upon my optic nerve. Indeed, I didn't think anything COULD be worse.<br /><br />I was wrong. ""Galaxina"" is that rare movie where EVERY SINGLE ELEMENT of it is achingly, agonizingly, blindingly bad. How often have you watched a movie and commented, ""Who the hell LIT this thing?"" From lighting to soundtrack to effects to script to acting to cinematography to . . . well, EVERYTHING, this movie is absolutely unendurable. It's so bad, I couldn't even tell for some time if it was the worst comedy or the worst drama I'd ever seen.<br /><br />It's too bad even to be laughable. I'd sooner eat a platefull of broken glass than sit through it again.",neg
268,"If ever there was a film that can be considered a missed opportunity then that film is Galaxina. What could possibly be wrong in basing a sci-fi film around a sexy statuesque female android? Surely such a film could never be a complete waste of time? Well, sadly this movie is pretty close to useless. There are a number of faults with this production it has to be said, however, there are two basic problems that entirely destroy the whole enterprise. Firstly, this is a comedy with no funny bits at all, or at the very least a film where the potentially amusing aspects are presented in an incredibly unamusing way. Secondly, the title character is woefully underused. This may be because Dorothy Stratten was not really an actress but if so it was a terrible decision as she is still easily the best thing about the film. I don't think she really needed to be a great thespian to pull off the role of a sexy android to be perfectly honest. Anyway, what we are left with is a whole lot of mind-numbing comedy relief, which often is made up of hopeless spoof-type gags of the big sci-fi hits of the time such as Alien, Star Wars and 2001. It's badly written and not funny at all, and it doesn't even really have a plot to propel things along. The story basically is about a police space-cruiser that is sent to get a rock. That's it! Steven Spielberg once said that a high-concept movie was one whose plot line could be described in one sentence. What he didn't define was what you call a movie that can be described in less than a sentence - pointless maybe?<br /><br />This seemed like a sure-fire winner to me but it failed miserably. It seems to have been an attempt to spoof Star Wars and combine it with adult comedy situations. All it does actually achieve is to leave you cold and a little irritated that it wasn't close to what it should've been. A Barbarella for the 80's this ain't.<br /><br />Shortly after this film was finished Dorothy Stratten was murdered in an appallingly violent and horrific way. And for that reason Galaxina has derived a considerable amount of it's cult interest. I just think it's a great shame that Dorothy didn't have a better film left to immortalise her.",neg
269,"The odd thing about Galaxina is not that it is supremely bad, although it is. The odd thing is that in spite of being supremely bad, it is not funny. Supremely bad movies have their own particular brand of unintended humor--the secret of their success, you might say. But Galaxina is quite uniquely different--it is MST3K's worst nightmare, a bad movie in which the intentional *and* the unintentional humor alike fall flat.<br /><br />It is easy enough to figure out why the intentional jokes fail--and the reasons are quite varied. Sometimes it's a timing question; sometimes it's a good idea badly worked out (the human restaurant *could* have been hilarious, but it wasn't); sometimes it feels like there was some mixup in the cutting room, with the punchline ending up on the floor; and sometimes the jokes are just bad jokes. Bad movies get their laughs from such unintentional snafus. It's harder to figure out why Galaxina doesn't get any laughs on that count. Something is subtly wrong with the unintentional humor in this movie, just as something is wrong (not at all subtly) with the intentional humor. It is a supremely bad movie whose very badness is not the redeeming quality it usually is. It's absolutely unique in my experience.",neg
270,"This is not the worst movie I've ever seen. I did not feel like I wanted to remove my eyeballs forcibly after watching Galaxina. It just is not good. The jokes are almost funny, but fall short. All of them. The few gags that come close are beat back down by repeating them over and over. The production values are, well, non-existent. The sound is bad, the lighting is bad, ... it just seems cheaply made; overly so. The dialog ... well, often it is missing - many awkward silences; they are all just standing around, and it seems like someone should be saying something. The film even seems ambivalent about what it wants to be - it is not always clear that it was intended as a comedy - like maybe that developed after shooting started. It feels like someone's film project that they threw together the night before it was due, and if they had put two weeks into it, it could have been good.<br /><br />And I'm easy to please. I thought ""Mom and Dad Save the World"" was a hoot. I like ""Pluto Nash"". ""Mystery Men"" is one of my favorite movies. ""Spaced Invaders"" is well nigh unto a classic. This turkey just doesn't do it. ""Space Truckers"" was more believable.<br /><br />Avery Schreiber, who can be very funny, tries too hard. His part calls for a straightman, and he plays it leaning toward sitcom. Dorothy Stratten is OK in her role, but not particularly noteworthy.<br /><br />Oh, yeah, the ""My watch is always slow."" line was funny. I'll give this movie all the kudos it can get, it needs it.<br /><br />The space vehicle models are not bad, but they are few and are not used effectively. The space scenes are vague. No sweeping passes, no close up detailed fly-bys, not even appropriate action scenes when they dock. (The Infinity does crash land very oddly at one point.) The flight dynamics are terrible; worse than anything you've seen, they're jerky, not smooth. The initial battle is stilted and static; even though the two ships have just shown that they can maneuver in their jerky fashion, they trade (slow) shots at close range in a manner that is more reminiscent of a 16th century sea battle, except not as exciting.<br /><br />The aliens - imagine if all of Star Wars was the cantina scene. That many rubber masks could get dull rather rapidly, no? A few are used as sight gags that work OK the first time, but not the fifth.<br /><br />Mercifully, if you attempt to watch Galaxina, you are likely to fall asleep. (I got busy doing something else and missed the last ten minutes, and did not feel like it was worth replaying it. If that doesn't say ""It sucked"", I don't know what does.) Sadly, there is a lot of potential, and this could easily have been a good movie. It would be easy to remake this and have a decent film.<br /><br />MadKaugh",neg
271,"I'm not a movie snob. I've liked lots of movies that critics hate, and I've hated movies that critics love. However, I have to agree with critics here--""Galaxina"" is just substandard. Clearly intended to be a comedy, it only has a few scattered laughs. ""Galaxina"" has poor photography; it has poor special effects; it has some pretty poor acting; and the production values...well, the sets might as well have been made of cardboard.<br /><br />""Galaxina"" tells the story of a spaceship whose crew is looking for a magical object called ""The Blue Star"". After a long voyage (and some very unconvincing space battles), the crew arrives at its destination, a sort of wild west alien world. There's a painfully unfunny cantina scene (clearly designed to be a spoof of the famous ""Star Wars"" scene), a chase involving space bikers, and a final getaway.<br /><br />The cast tries, but can't breathe life into this turkey. Stephen Macht and Avery Schreiber have done better work in other movies. James David Hinton is pretty good as a member of the spaceship's crew. The late Dorothy Stratten stars as the robot of title, and while she looks great, her role doesn't give her much of a chance to act.<br /><br />You might catch this film to see Dorothy Stratten. However, if you're looking for a good movie, you'll probably want to skip this one.",neg
272,"I've seen worse films. This is bad but at least doesn't try to be good so it deserves a brief round of applause. It rest firmly in the realms of the low-budget B-movie sci-fi genre.<br /><br />It is a rubbish film but in a nice way and is certainly worth buying if it's in the bargain bin at your local supermarket. Awfully charming rather than just plain awful.<br /><br />The highlight for me is when Galaxina's lover goes to rescue her. Upon turning up she exclaims ""Bunnyfluff!"" which draws sniggers from his co-pilot.<br /><br />Sit back, get drunk, enjoy!",neg
273,"I have yet to watch STARCRASH (1979) - that notoriously cheesy Italian take on STAR WARS (1977) - but it can't be much worse than this misbegotten piece of junk which, suffice it to say, makes Mel Brooks' so-so SPACEBALLS (1987) look like a veritable work of art! In fact, the main reason why GALAXINA is remembered at all nowadays is because of the tragic fate which befell its leading lady - Playboy centerfold Dorothy Stratten who was killed by her insanely jealous estranged husband - before the film had even had its official premiere! <br /><br />Although Statten (who subsequently had two biopics made about her wherein she was portrayed by Jamie Lee Curtis and Mariel Hemingway) plays the title role, for the first half of the film she is reduced to being propped up in a chair ostensibly driving a spaceship on a 27-year journey to some planet or other; in fact, Galaxina is an all-purpose android who also serves the wacky crew their snacks, gets them all hot under the collar and even goes scouting for the Blue Star (cue choral music) once they land! Having said that, Statten certainly looks luminous in her white attire and, even if her role hardly demands much exertion of any acting talent she might possess, it's not exactly demeaning either.<br /><br />Still, it's ironic that for a film which bears her name, she is overshadowed by the campy and would-be zany antics of her fellow crew members, especially the annoying Captain Cornelius Butt (which gives you the idea of the level of comedy on display here), a long-eared, wing-sporting colored guy, a pot-smoking, proverb-quoting old Chinaman and, best of all (relatively speaking) a foul-mouthed, rock-eating, hairy alien creature they hold prisoner. The villain of the piece is a metal-clad non-entity who does, however, have the best laugh in the film when, upon hearing the choral music following his every mention of the Blue Star, exclaims, ""What is this s**t?"" There is little point in listing the sci-fi classics which are mauled by this stinker in its ludicrous attempts at spoofing the genre since they are not only lame but obvious; incredibly enough, a chest-busting but ultimately benign alien is apparently played by diminutive Hollywood veteran, Angelo Rossitto!<br /><br />For what it's worth, then, the scenes shot on the planet they visit (which looks more like a Western set than a planetary landscape) have a yellowish, sun-like hue and its inhabitants are 'human gourmets' (delicacies on their menu include Skin and Tonic, Scotsman on the Rocks, Thigh Pies, Baked Alaskan, etc), not to mention a motorcycle gang who serve their own particular deity (the Harley Davidson) and when our heroes escape on the back of it, they dare not shoot at them for fear of hitting their ""Lord"". God(awful) indeed...",neg
274,"This picture hit the movie screens on June 6th 1980, starring Stephen Macht as Sergeant Thor, Avery Schreiber as Captain Comelius Butt, J.D. Hinton as Buzz and starring Playmate of the year Dorothy Stratton. The picture starts with the police infinity roaming space looking for I guess criminals. There ship is suddenly attacked by an unknown space ship. Enters Sergeant Thor and his partner Buzz as they try to figure out who the unknown ship belongs to. When failing they call on Captain Comelius who instructs his crew to fight back. Enters the gorgeous Dorothy Stratton, who plays the role of Galaxina who is man made robot. An now a few thoughts on this picture. This movie was plan stupid and it's one of the reasons that I don't get into Sci-Fi. If you're into Sci-Fi you would have notice that the laser sound effects were borrowed from an early Sci-fi movie titled Battlestar Galactica which aired in theaters in 1978. Many of the door sounds that you hear in this movie came from another Sci-Fi movie that aired back in 1966 titled Star Trek. Now for the reason that I bought this movie, Dorothy Stratton. She is gorgeous in her one piece suit. I think her talents were wasted in this picture and she should have never been involved in such garbage. Connie Sellecca was also considered for the role and her talents would have been wasted also. On the picture alone I give this movie 1 weasel star and on Dorothy Stratton I give her 10 weasel stars even though she didn't deserve to be put into a trash movie like this. If you like pictures like this you can get the DVD version on Amazon.com",neg
275,"For connoisseurs of bad movies, Galaxina is a true gem. With truly horrid dialog, acting, and directing, it's no choice for people seeking a proper movie. But as one of the most unintentionally hilarious movies of its genre, it's priceless for a good laugh. In particular, the scenes involving the Harley Davidson-worshiping motorcycle cult are especially good, and many other scenes present an opportunity for a cheap laugh.<br /><br />Sadly, the scenes with Dorothy Stratten really fail to deliver, but since she's playing an android, I suppose one can excuse her for wooden acting.<br /><br />Bad movie-lovers, don't pass this one up!",neg
276,"... what a porn movie would look like if you took out the sex and just left in the bad dialog, cheap sets and bad acting, you would have Galaxina.<br /><br />This film came out when the Original Star Wars proved there was a market for Science Fiction. This in turn lead to some gems such as Alien and a revitalized Star Trek. Unfortunately, it also led to some bad movies, and this was obviously one of them. (I say obviously, because I hadn't even heard of this film until a few days ago.I missed it when it came out in 1980.) <br /><br />Here's the underlying problem. Dorothy Stratton couldn't act, so for most of the movie, they didn't even let her try. I understand her tragic death has given this film an undeserved cult status, but for the life of me I can't understand why.<br /><br />Clearly, the movie tried to Spoof Star Wars, Star Trek and Aliens, but they clearly don't understand than when you spoof something, it has to be FUNNY! This movie wasn't, or at least, the comic timing on jokes that could have been funny weren't. Science Fiction is ripe for parody, as Spaceballs and Galaxy Quest proved. This movie, however, did it poorly.",neg
277,"Earnest effort which achieves some success to adapt the classic Odyssey story to a '30's nostalgia period piece. The adventurers this time are escaped convicts, wandering about the Depression afflicted South bungling their way into trouble.<br /><br />The greatest strength of the film is the wonderful music soundtrack, effectively evoking not only the era that this is set in, but the spiritual references that run rampant in the film. Besides its value to the tone of the movie, the music is just plain fun to listen to.<br /><br />What cripples the film is that the characters really aren't that likable. In a comedy, you need that element in order to have fun along with them in their misadventures. Instead, we have a bunch of selfish, arrogant, soulless, mean spirited nobodies who really have no positive points at all. They're not imposing enough to make you hate them either, so it's hard to relate to them at all. They're offered up as clowns, but like people who put clown makeup on and march in parades, they just aren't funny.<br /><br />Like the story that inspired it, the movie takes these guys on an ""odyssey,"" encountering a variety of symbolic (some even mystical) characters. Everybody is stamped with offensive stereotypes, the operative word being ""stupid."" People are mocked right and left, and consequently, no one is left being particularly interesting or appealing. The movie doesn't like its own characters, and it doesn't let you like them, either.<br /><br />Riverside baptisms, beautiful sirens, stolen cars, fistfights, radio preachers, people being whipped with sticks; all are thrown at you in disjointed fashion. Some evoke a few laughs, others confuse or bore you. I did laugh when a nerdy guy beat the snot out of an especially obnoxious lead character. But there were a lot more pointlessly gratuitous scenes; an example: some '30's Dillinger-type guy strafes cows with a tommy-gun. Comedy? Symbolism? No; just mindless violence, which detracts from the intellectual nature of the original source material this story draws upon.<br /><br />Other adaptations of the Odyssey are much better. Unless you're a George Clooney fan, rent something else. But buy the soundtrack CD; the music is great.",neg
278,"Dorothy Stratten is the only reason to watch this unfunny sci-fi spoof, and her appearance is a disappointment. Though she has the title role, her screentime is limited, and she only speaks a few lines of dialogue. If you're not a Stratten fan, pass this one up.",neg
279,"Yesterday I watched this tv production, and I was very disappointed.<br /><br />I didn't have big expectations when it was a tv production, but the complete movie was pain with no ending. I felt it lasted for 3 hours, but it was just me who was bored to death. Every minute was a long struggle and I really fought hard to stay away from the ""turn off""-switch.<br /><br />The movie is about a doctor (Dr. Verghese) who gets a lot of AIDS-patients, and most of them die during the movie. It is hard for Verghese to live with, so his family gets punished with his frustrations. However this movie has problems showing both sides, it mostly focuses on his conversations with the patients, and sometimes we see flicks from his home, but we don't get much. The difficulties to show more than one part of Verghese's life doesn't get any better with the poor acting from Naveen Andrews, a man I (hopefully) can't see in any good future movies.<br /><br />I believe it got 7,6 because of the subject (taboo?), but I'm sure that there are better movies about this subject on the market. Stay away from this movie, it does not deserve more than 3/10.<br /><br />",neg
280,"Is it possible for a movie to get any worse than this? There's a bunch of apes wandering about, mumbling b******, acting supposedly silly and we are supposed to laugh? There is no plot here to keep you going in the first place. Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep. Beware: this is not a trashy cult movie, this is trash -period! I can't believe there's even a sequel to this!<br /><br />1",neg
281,"I readily admit that I watch a lot of really bad movies. But there are very few that I can think of that are quite as bad as When Women Had Tails. It's a stinker of epic proportions. What should have been a sexy comedy about a group of cavemen discovering a woman for the first time is instead a dull, lifeless affair without a single laugh to be had. The comedy is extremely weak. I suppose if you think bashing someone in the head is funny, you might find a laugh or two. The guys in this movie make the Three Stooges look like high art. And there's just not enough of a plot to hold the thing together. It seems to drag on and on and on.<br /><br />Well, you may be asking yourself, ""If it's as bad as you say, why haven't you rated it lower than a 3/10?"" Good question! And I've got two answers. First, the movie is not without its curiosity value. I do find a bit of interest in an Italian spoof of movies like One Million Years B.C. with Raquel Welch. I'll give When Women Had Tails a point for its historic ""value"". The other two points are for the mere presence of Senta Berger. I know it's not much of an explanation or reasoning for a rating, but what are you going to do? It's the best I can come up with.",neg
282,"Way back at the dawn of human civilization cavemen sat around and made lame jokes, hit each other over the heads with what ever they could grab, and women were never seen and apparently at one time had tails. These cavemen lived in a geographically diverse region with a cockatoo, a camel, a monkey - but no women. This film tells of the ""hilarious"" misadventures of seven(or so) cavemen - having burned their land with the new discovery of fire - moving on by water to a new land where they find this woman with the extra appendage. Along the way we get such ""great"" moments of comedy like a fat cavemen swallowing a frog that keeps croaking in his stomach. A monkey throwing rocks at their heads. A man swallowing a mouse to get the frog in his stomach. The obligatory ""gay"" caveman. The list could go on and on. This movie is the very definition of cinematic dreck. I was bored from the onset and it only got worse as the cavemen bobbled around hitting each other, making poor jokes such as puns on the word perch, hitting each other, and mauling poor Seta Berger who looks like she lost a bet to a producer to appear in this nonsense. She is indeed one of two bright spots in this film. She isn't much of an actress so you have to guess why she is an ass-et? The other ""bright"" spot is the music. As soon as I heard the score, I said to myself that it sounded very familiar. I had never heard the actual score but the music was unmistakably that of Ennio Morricone. It's a nice score and the best thing in an otherwise crude, boring, lewd, unimaginative, and ridiculous film essentially about a group of Moes finding a woman for the first time and, first wanting to eat her like some animal, being taught what she could do. Awwwwh! Sorry, I'm stifling a yawn as I relive the plot! The end of the film has some 100 or so mostly naked women on screen with all the erotic feel of pulling a scab off your knee. This movie was painful to sit through and offers nothing of any real merit whatsoever. The fact that it spawned a sequel doesn't surprise me as it offers that one thing which will prick viewer interest - tail.",neg
283,"I don't really know why so many persons love this movie: maybe it's funny, OK, but it has totally ruined one of the best novels ever written. As the author himself said, this movie has betrayed the book: not only the story is violently cut to about 1/3, but all the symbols, all the complexity, everything is lost in a very 80's-fashioned fantasy/adventure film for kids. Today we have effects, directors, a new attention to books: I hope that someone (Tim Burton, Peter Jackson, Hayao Miyazaki...) someday will direct the REAL Neverending story. A great dead writer, a wonderful book and many literature lovers deserve it.",neg
284,"I saw this film before two weeks. It's kitsch, boring and totally unintelligible for people, that haven't read the original book. There are many fact mistakes too... actors plays rather poor, you must laugh even in the sad moments. It was a totally waste of time.",neg
285,"The girls might be prettier if you're their accompanist or a $#!+-faced onlooker. What I'm sayin' is that it'll take special circumstances for a non-whince reaction to this effort. The delivery of many lines appears to be distractingly unnatural for some actors. Lighting seems to be a problem, too, although failing eyesight may have accounted for my frequent squinting. And if you view this film, be open-minded enough to accept elements that no zoo or circus would reject: They are the above and below-ground creatures who feasted on dozens of campers near an empty Louisiana mansion. That's the discovery of a trio who is dispatched from their printed media to investigate the deaths. Then, two of THEM disappear, and the survivor is part of another threesome who take up the hunt. Eureka! I just realized what one of those aforementioned ""special circumstances"" would be - unconsciousness.",neg
286,"This is probably the worst film I have ever seen; it makes Plan 9 from Outer Space look wonderful. The acting is wooden, the plot silly and the SFX non-existent. The only good thing about it is the fact that it is not a long film. The scenery is sometimes quite pretty, assuming you like trees, if that helps any!",neg
287,"I just finished up this unofficial adaptation of H.P. Lovecraft's ""The Lurking Fear"" that was shot in Louisiana. Outside of a few changes (names, setting), this follows the short story point by point for the first 70 minutes but then tries to inject its own ""twist"" ending that you could see coming from a mile away. Either way, it is a much better adaptation than Full Moon's THE LURKING FEAR. Too bad it is a terrible film. Director David McCormick shoots the thing with all the flair of an industrial short. I swear I counted maybe two camera movements. The creature design is cheap (we're talking store bought masks here) but shot in a dark manner (intentional or not) where they are somewhat creepy. The most impressive thing in the picture is the abandoned mansion but McCormick fails to exploit that as well. File this one under good adaptation, poor execution.",neg
288,"Although not a big Coen brothers fan, I am an admirer of their dark humor films like 'Fargo' and 'Miller's Crossing.' I have been much less impressed by their other comic mode, goofy-camp (or is that Camp Goofy?) Unfortunately, 'O Brother, Where Art Thou?' falls into the latter category and isn't even as good as 'The Big Lebowski' or 'The Hudsucker Proxy.'<br /><br />'O Brother' is basically an episodic series of in-jokes without much point, and not all that much humor or cleverness either. As most reviewers have noted, the film's plot is very loosely �? and, as far as I could tell, quite arbitrarily �? based on The Odyssey. Its main character, Ulysses Everett McGill (George Clooney), is an 'adventurer' like his Homeric namesake and has as his 'real' goal the return home to prevent the marriage of his wife Penny to a suitor. Of course, we don't discover that this is what the Clooney/Ulysses character really wants until long after we've stopped caring. And what does Homer have to do with ""Cool Hand Luke"" chain gangs, Ku Klux Klan meetings a la ""Indiana Jones"" cult gatherings, a disbarred lawyer's vocabulary, a talent for blue-grass country music singing, an association with Baby Face Nelson, a Clark Gable lookalike hairdo, and other random and sundry character traits and encounters? I leave that for others to discern.<br /><br />The allusion to Preston Sturges' 'Sullivan's Travels' in 'O Brother's' title is equally pointless. Yes, viewers familiar with the Sturges minor screwball comedy classic might find it mildly rewarding to recognize the title of the socially conscious Depression movie Sullivan abandons Hollywood and comedy hoping to make. And they might even be mildly amused by a couple of shot/scene riffs (e.g. hopping freight cars, and the chain gang shuffle into view a movie). But so what? The Coen brothers don't seem to have anything to add to the art-for-art's-sake versus moral high seriousness critical debate about the function of art. They obviously fall into the former school, but that doesn't seem to motivate the reference in the slightest. Is it an homage? If so, why make it? I like post-modern pop culture reference and textual play as much as the next person, but it's a lot nicer when it amounts to something at least tonally, if not thematically, consistent �? and not just an arbitrary concoction.<br /><br />This screenplay is simply a silly mess. The only consistent, and consistently pleasing, element is the folk/country music soundtrack. It doesn't have much to do with Homer or Preston Sturges, but, considering the rest of the film, that's probably a good thing. On the other hand, I'd recommend using the price of admission on the soundtrack CD.",neg
289,"Before I really slag this film off, I just want to say I absolutely loved it. <br /><br />Firstly, how many times in the film did the characters use the phrase ""You're Right.""? I'm sure i was counting in the hundreds before I gave up and started watching the film again.<br /><br />Secondly, what the hell is with those blue monkey things? OK, so the Dansen family led very private lives and had one brown eye one blue eye, but since when does that transform people into subterranean carnivorous blue zombie-creatures?<br /><br />and finally, 'Old faithful here will protect me' hahaha :)",neg
290,"Everything about this movie was bad, the acting was bad and the plot was bad. And were is all the blood and gore that was in ""Demons"" which is a good movie and it was not scary at all. My Brother said that this movie was bad but I had to give it a chance since the first movie was very good. When the movie was over I understand why my brother thought this movie was bad. The only plus in this movie was the music by ""The Smiths"" and ""The Cult"", but this is a movie and the music soundtrack is not the most important thing. And I saw that it has been released four sequels after this film, I haven't seen none of them but can they be as awful as this one, I have no plans to see them but maybe I will see them some time.",neg
